id	form	gloss	pos	root	root_gloss	deriv	morphemes
QTY-001.pe	sope	'zero'th; the 'zero' in order (ordinal)	modifier	so	zero	ordinal	so+pe
QTY-002.pe	tape	'one'th; the 'one' in order (ordinal)	modifier	ta	one	ordinal	ta+pe
QTY-003.pe	kipe	'two'th; the 'two' in order (ordinal)	modifier	ki	two	ordinal	ki+pe
QTY-004.pe	mope	'three'th; the 'three' in order (ordinal)	modifier	mo	three	ordinal	mo+pe
QTY-005.pe	fupe	'four'th; the 'four' in order (ordinal)	modifier	fu	four	ordinal	fu+pe
QTY-006.pe	lepe	'five'th; the 'five' in order (ordinal)	modifier	le	five	ordinal	le+pe
QTY-011.pe	dikope	'ten'th; the 'ten' in order (ordinal)	modifier	diko	ten	ordinal	diko+pe
QTY-012.pe	samupe	'hundred'th; the 'hundred' in order (ordinal)	modifier	samu	hundred	ordinal	samu+pe
TIM-001.ka	wakatika	time	noun	wakati	time	noun	wakati+ka
TIM-001.pe	wakatipe	of/like 'time'; 'time'-related	modifier	wakati	time	modifier	wakati+pe
TIM-001.to	wakatito	to use/apply 'time'; to act as 'time'	verb	wakati	time	verb	wakati+to
TIM-001.cika	wakaticika	little 'time'; small/dear 'time'	noun	wakati	time	diminutive	wakati+ci+ka
TIM-001.goka	wakatigoka	big 'time'; great 'time'	noun	wakati	time	augmentative	wakati+go+ka
TIM-001.deka	wakatideka	place of/for 'time'	noun	wakati	time	place	wakati+de+ka
TIM-002.ka	dinka	day	noun	din	day	noun	din+ka
TIM-002.pe	dinpe	of/like 'day'; 'day'-related	modifier	din	day	modifier	din+pe
TIM-002.to	dinto	to use/apply 'day'; to act as 'day'	verb	din	day	verb	din+to
TIM-002.cika	dincika	little 'day'; small/dear 'day'	noun	din	day	diminutive	din+ci+ka
TIM-002.goka	dingoka	big 'day'; great 'day'	noun	din	day	augmentative	din+go+ka
TIM-002.deka	dindeka	place of/for 'day'	noun	din	day	place	din+de+ka
TIM-003.ka	usikuka	night	noun	usiku	night	noun	usiku+ka
TIM-003.pe	usikupe	of/like 'night'; 'night'-related	modifier	usiku	night	modifier	usiku+pe
TIM-003.to	usikuto	to use/apply 'night'; to act as 'night'	verb	usiku	night	verb	usiku+to
TIM-003.cika	usikucika	little 'night'; small/dear 'night'	noun	usiku	night	diminutive	usiku+ci+ka
TIM-003.goka	usikugoka	big 'night'; great 'night'	noun	usiku	night	augmentative	usiku+go+ka
TIM-003.deka	usikudeka	place of/for 'night'	noun	usiku	night	place	usiku+de+ka
TIM-007.ka	kesoka	tomorrow	noun	keso	tomorrow	noun	keso+ka
TIM-007.pe	kesope	of/like 'tomorrow'; 'tomorrow'-related	modifier	keso	tomorrow	modifier	keso+pe
TIM-007.to	kesoto	to use/apply 'tomorrow'; to act as 'tomorrow'	verb	keso	tomorrow	verb	keso+to
TIM-007.cika	kesocika	little 'tomorrow'; small/dear 'tomorrow'	noun	keso	tomorrow	diminutive	keso+ci+ka
TIM-007.goka	kesogoka	big 'tomorrow'; great 'tomorrow'	noun	keso	tomorrow	augmentative	keso+go+ka
TIM-007.deka	kesodeka	place of/for 'tomorrow'	noun	keso	tomorrow	place	keso+de+ka
TIM-008.ka	yanaka	yesterday	noun	yana	yesterday	noun	yana+ka
TIM-008.pe	yanape	of/like 'yesterday'; 'yesterday'-related	modifier	yana	yesterday	modifier	yana+pe
TIM-008.to	yanato	to use/apply 'yesterday'; to act as 'yesterday'	verb	yana	yesterday	verb	yana+to
TIM-008.cika	yanacika	little 'yesterday'; small/dear 'yesterday'	noun	yana	yesterday	diminutive	yana+ci+ka
TIM-008.goka	yanagoka	big 'yesterday'; great 'yesterday'	noun	yana	yesterday	augmentative	yana+go+ka
TIM-008.deka	yanadeka	place of/for 'yesterday'	noun	yana	yesterday	place	yana+de+ka
TIM-011.ka	taunka	year	noun	taun	year	noun	taun+ka
TIM-011.pe	taunpe	of/like 'year'; 'year'-related	modifier	taun	year	modifier	taun+pe
TIM-011.to	taunto	to use/apply 'year'; to act as 'year'	verb	taun	year	verb	taun+to
