form	gloss	clash_lang	clash_meaning	severity	note
ano	year	Spanish/Portuguese	ano = anus (año without ñ)	SEVERE	taboo — and in the very family the form was drawn from
loko	place	Spanish	loco = crazy	HIGH	source-family, extremely common
tela	ground/earth	Spanish/Italian	tela = cloth/canvas	HIGH	source-family
male	sea	Italian	male = evil/bad/pain	HIGH	source-family; also Maldives capital
dia	day	Indonesian/Malay	dia = he/she	HIGH	~250M speakers, very common word
pesa	fish	Swahili	pesa = money	HIGH	common East-African word
kane	flesh/meat	Japanese	kane = money	HIGH	food-vs-money domain clash
nila	black	Hindi/Indonesian	nīla = blue / indigo	HIGH	colour-vs-colour: actively misleading
bila	white	Arabic/Swahili	bila = without	HIGH	common function word in two big languages
go	go	Japanese	go = five	HIGH	basic verb vs basic number
nu	now	Romanian	nu = no	HIGH	near-antonym of our 'no'
kalo	hot	Greek	kaló = good	MEDIUM	property-domain clash
oso	bone	Spanish	oso = bear	MEDIUM	source-family
masa	more	Spanish/Tagalog	masa = dough / mass	MEDIUM	common in two families
pena	five	Spanish/Portuguese/Italian	pena = sorrow / feather / penalty	MEDIUM	source-family, number slot
du	two	German	du = you (informal)	MEDIUM	number vs pronoun
akua	water	Hawaiian	akua = god / spirit	LOW	Polynesian
owo	egg	Yoruba	owo = money / hand	LOW	~45M
oto	ear	Japanese	oto = sound	LOW	sense-domain clash
odi	hear	Latin	odi = I hate	LOW	Latinists only
wide	see	English	wide = broad	LOW	reads as an English adjective
dice	say	English	dice = cubes	LOW	reads as an English noun
kome	eat	Japanese	kome = (raw) rice	LOW	food domain
kogi	think	Korean	gogi/kogi = meat	LOW
timo	fear	Greek/Italian	timó = honour / timo = thyme	LOW
mala	bad	Hindi	mālā = necklace / garland	LOW
tota	all	Hindi	totā = parrot	LOW
papa	father	Andean Spanish	papa = potato (also = Pope)	LOW	'father' reading dominates
ladi	root	English	lady	LOW
semi	seed	Japanese/English	semi = cicada / half-	LOW
sento	hundred	Italian	sento = I feel/hear	LOW
piwa	rain	Polish	piwa = beers	LOW
hima	cold	Japanese	hima = free time / boredom	LOW
tawa	old	Tagalog	tawa = laughter	LOW
dipa	different	Sanskrit/Hindi	dīpa = lamp / light	LOW
basa	down/below	Malay	basa(h) = wet / bahasa = language	LOW
