# Talo reading-coverage reference — the concept spine the lexicon is scaled to cover (docs/0013).
# Source: Intercontinental Dictionary Series (IDS) via Concepticon (Key-2016-1310),
#   CC-BY-4.0. https://concepticon.clld.org/  —  Buck's ~1,310 cross-linguistic
#   concepts in 22 semantic chapters; named as the lexicon spine in docs/0003 §1.
# A concept is 'covered' when the Talo lexicon EXPRESSES it (a root, a legal
# derivation/compound, or a grammatical word). Coverage is measured by
# tools/reading-coverage; the uncovered rows are the (triage-then-mint) queue.
# Columns: id<TAB>english<TAB>chapter<TAB>gloss   ('#' = comment)
id	english	chapter	gloss
IDS-1	often	14	OFTEN
IDS-2	always	14	ALWAYS
IDS-3	ready	14	READY
IDS-4	cease, stop	14	CEASE
IDS-5	finish	14	FINISH
IDS-6	end (temporal)	14	END (OF TIME)
IDS-7	last, endure	14	LAST (ENDURE)
IDS-8	begin, beginning	14	BEGIN OR START
IDS-9	retard, delay	14	BE LATE
IDS-10	hasten, hurry	14	HURRY
IDS-11	slow	14	SLOW
IDS-12	swift, fast, quick	14	FAST
IDS-13	immediately	14	IMMEDIATELY
IDS-14	now	14	NOW
IDS-15	late	14	LATE
IDS-16	early	14	EARLY
IDS-17	old	14	OLD
IDS-18	young	14	YOUNG
IDS-19	age	14	AGE
IDS-20	new	14	NEW
IDS-21	time	14	TIME
IDS-22	three times	13	THREE TIMES
IDS-23	third	13	THIRD
IDS-24	two times	13	TWICE
IDS-25	pair	13	PAIR
IDS-26	second	13	SECOND
IDS-27	last	13	LAST (FINAL)
IDS-28	first	13	FIRST
IDS-29	alone, only	13	ONLY
IDS-30	half	13	HALF
IDS-31	part, piece	13	PART
IDS-32	empty	13	EMPTY
IDS-33	full	13	FULL
IDS-34	multitude, crowd	13	CROWD
IDS-35	some	13	SOME
IDS-36	little (quantity), few	13	FEW
IDS-37	enough	13	ENOUGH
IDS-38	more	13	MORE
IDS-39	much, many	13	MANY
IDS-40	every, all	13	ALL
IDS-41	count	13	COUNT
IDS-42	thousand	13	THOUSAND
IDS-43	hundred	13	HUNDRED
IDS-44	twenty	13	TWENTY
IDS-45	fifteen	13	FIFTEEN
IDS-46	twelve	13	TWELVE
IDS-47	eleven	13	ELEVEN
IDS-48	ten	13	TEN
IDS-49	nine	13	NINE
